OTU ID,1,2,3,4,5,6,7
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae,432.49999999999994,1307.25,554.5,398.75,1492.25,339.25,142.75
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae,885.0,583.75,580.5,615.75,836.25,184.0,122.5
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Microscillaceae,557.8333333333333,602.0,930.5,492.0,357.0,114.0,134.5
d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae,340.5,357.75,840.0,736.75,588.0,170.5,102.0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Nitrosomonadaceae,263.3333333333333,236.75,874.0,824.75,509.5,181.75,174.75
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae,599.8333333333334,465.0,574.0,342.75,493.25,221.25,170.5
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae,462.8333333333333,343.5,387.0,334.5,510.0,81.5,182.25
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae,931.3333333333334,497.25,346.75,140.25,138.25,91.0,86.75
d__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Pirellulales; f__Pirellulaceae,348.1666666666667,353.0,534.75,313.0,275.0,64.25,111.75
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae,323.1666666666667,467.25,298.0,227.5,451.5,94.75,89.0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria Incertae Sedis; f__Unknown Family,242.33333333333334,207.5,493.25,352.75,361.25,123.0,161.75
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae,298.8333333333333,305.0,494.25,312.75,285.0,97.5,127.75
d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__BIrii41,356.16666666666663,333.0,390.0,314.25,114.5,21.75,64.75
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae,293.1666666666667,199.0,331.0,300.25,283.25,86.5,73.75
d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__uncultured bacterium,198.66666666666666,232.5,282.0,234.5,437.75,98.0,25.75
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae,321.1666666666667,231.5,394.0,235.25,193.75,61.25,65.75
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae,265.1666666666667,202.5,272.25,288.75,213.5,69.0,94.25
d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae,161.5,149.5,248.25,296.75,346.0,90.5,38.5
d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae,116.33333333333333,125.25,407.25,302.25,190.25,78.75,22.5
d__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae,158.83333333333334,182.5,229.5,207.5,217.75,51.5,19.25
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae,164.33333333333331,124.25,212.25,234.25,192.25,67.75,66.75
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae,125.16666666666667,104.5,225.5,277.75,168.0,75.25,69.75
d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus Kaiserbacteria; f__uncultured bacterium,148.16666666666666,241.5,259.25,167.75,178.75,20.75,23.25
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae,286.5,169.0,205.75,91.5,84.5,47.25,128.75
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__SC-I-84,139.16666666666666,106.5,280.5,200.5,174.75,43.25,65.0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PLTA13; f__uncultured bacterium,110.33333333333333,94.25,190.5,258.0,148.25,71.25,100.5
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae,330.16666666666663,283.0,97.0,36.75,56.5,54.5,86.0
d__Bacteria; p__Acidobacteria; c__Subgroup 6; o__uncultured bacterium; f__uncultured bacterium,121.5,105.5,261.25,190.75,156.5,57.75,43.25
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__CCD24; f__uncultured bacterium,102.83333333333333,102.0,239.25,234.75,141.75,59.0,55.0
d__Bacteria; p__Acidobacteria; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae,72.0,79.75,238.5,267.75,142.25,32.0,33.75
