,1,2,3,4,5,6,7
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae,0.856467433,0.191292914,0.559449359,0.007321773,0.961866836,0.808374581,0.398185399
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae,0.013936913,0.740692042,0.003660769,0.968639325,0.000362024,0.00083008,0.513777838
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.063192435,0.04261696,0.184487492,9.18e-05,0.01466196,0.089848434,0.001094147
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae,0.007056665,0.000106349,0.023261135,0.0,0.012369144,0.078919052,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|Other|Other,0.031119893,0.007599122,0.010791641,0.023598495,7.54e-05,0.004596182,0.084838487
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae,0.0,0.0,0.0,0.0,9.05e-05,0.000199834,0.000993149
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae,3.53e-05,0.0,0.010257779,0.0,0.000226265,0.000860823,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.009632348,0.0,0.025701647,0.0,0.00132742,0.001183632,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.0,0.015294925,0.0,0.0,0.0,0.0,0.000100998
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae,0.000493967,0.0,0.029591214,1.84e-05,0.000437445,0.001675531,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.003634182,0.0,0.013422819,1.84e-05,0.00021118,0.002643957,1.68e-05
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae,0.0,0.0,0.0,0.0,3.02e-05,0.000399668,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0.0,0.0,0.043128432,0.0,0.000633541,0.00024595,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae],0.0,0.0,0.005948749,1.84e-05,0.0,0.000107603,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.0,0.0,0.006520744,0.0,0.0,0.000368924,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.0,0.0,0.00583435,0.0,0.000377108,0.000107603,1.68e-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae,0.0,0.0,0.013651617,0.0,4.53e-05,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,0.000176417,0.000618758,0.005109823,0.000165153,0.000331855,7.69e-05,0.000538657
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae,0.0,0.000502741,0.00430903,0.0,0.000256433,0.001245119,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae,0.0,0.0,0.013079622,0.0,0.000241349,0.000768592,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.002893233,0.0,0.001029591,0.0,0.000346939,0.000199834,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae,0.0,0.0,0.0116687,0.0,0.0,0.0,1.68e-05
