,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.412301218,0.57113609,0.091939616,0.678942875,0.423796828,0.159198614,0.723813451
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.018200947,0.050325597,0.196247212,0.076955914,0.068699667,0.107653133,0.010816126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.14356007,0.126765028,0.520929718,0.053011487,0.168842591,0.014712123,0.018132606
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.080662,0.065225144,0.002248724,0.088054952,0.178943463,0.165767789,0.05368943
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.212414519,0.09522237,0.004313126,0.022819,0.07076107,0.067645707,0.105401719
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.032031724,0.021913429,0.008681548,0.002328469,0.019171041,0.286011105,0.021283344
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.000801198,0.000515144,0.063425064,0.001823968,0.001827777,0.069467039,0.000581512
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae,0.000979242,0.00055477,0.010414171,0.007722757,0.003366957,0.02888492,0.000380626
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|Other,0.002371222,0.000132088,0.06176617,0.009158646,0.001731578,0.009911232,0.000200886
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,0.002379315,0.005455242,0.006082613,0.008537721,0.006775142,0.003456995,0.015753693
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.041306195,0.006525156,3.69e-05,0.007063024,0.004823681,0.0,0.00742221
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Other,0.015522195,0.013182401,0.000110593,0.012185657,0.011186543,0.002342976,0.012021442
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae,0.011419091,0.028531047,0.0,0.003647935,0.011818707,0.0,0.010594094
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.0,1.32e-05,0.000645126,7.76e-05,2.75e-05,0.072658792,0.000190313
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.003682272,0.002285126,0.010432603,0.002250854,0.003724267,0.003006083,0.001215889
