,1,2,3,4,5,6,7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.09209018,0.283427899,0.692921058,0.126839341,0.150817093,0.362820383,0.046846876
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.351536959,1.23e-05,1.12e-05,0.109401768,0.201954397,0.047438618,0.164594037
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.001761984,0.000428916,0.000828732,0.409198688,0.025630762,0.455828365,0.167817521
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.025283403,0.0,0.000358371,0.157040264,0.161596643,0.115944226,0.218755113
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.023309133,0.702957072,0.174593753,0.004492699,0.001670071,0.0,0.002258075
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.045896489,0.003664171,0.057003349,2.27e-05,0.284243361,0.0,0.233187158
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.009075277,0.005784243,0.064529134,0.001259317,0.116587534,1.68e-05,0.054570148
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.178491063,0.0,0.000380769,0.112998196,0.031717551,0.014836146,0.012255784
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.228346707,0.0,0.0,0.007771462,0.003602385,0.0,0.001767189
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.005339023,0.002524479,0.005700335,0.004935162,0.003050295,1.68e-05,0.023562522
