,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.412301218,0.57113609,0.091939616,0.678942875,0.423796828,0.159198614,0.723813451
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.018200947,0.050325597,0.196247212,0.076955914,0.068699667,0.107653133,0.010816126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,0.14356007,0.126765028,0.520929718,0.053011487,0.168842591,0.014712123,0.018132606
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.080662,0.065225144,0.002248724,0.088054952,0.178943463,0.165767789,0.05368943
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.212414519,0.09522237,0.004313126,0.022819,0.07076107,0.067645707,0.105401719
