,1,2,3,4,5,6,7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.614526466,0.269646963,0.380815303,0.351624474,0.349585642,0.082182159,0.485980606
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.088060764,0.243236846,0.009378772,0.079809616,0.032640195,0.051978459,0.16605277
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__[Tissierellaceae],0.126394493,0.095597187,0.117373944,0.0,0.028039046,0.526574573,0.013981809
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Other,0.035366722,0.090389558,0.25694122,0.18286542,0.279094006,0.020018731,0.020859956
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.011037266,0.010009468,0.00427152,0.167793337,0.011896894,0.002575509,0.013418026
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.008188939,0.160692547,0.017643235,0.010002069,0.070186588,0.006204636,0.077238217
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.036553525,0.012579467,0.121738323,0.068186521,0.106512787,0.033949895,0.04450124
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,0.009969143,0.06550115,0.021821896,0.002345313,0.002872541,0.003980332,0.049875968
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.010325184,0.015014203,0.000278577,0.000275919,7.63e-05,0.106649497,0.008005713
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae,0.008901021,0.0,0.015786053,0.053631786,0.069068077,0.005385156,0.0
